127,ARQUITECTURA CIUDAD E IDENTIDAD
128,ARTE
129,ARTE Y SALUD
130,ARTES
131,ARTES AUDIOVISUALES
132,ARTES AUDIOVISUALES TECNICA
133,ARTES ESCENICAS
134,ARTES INDUSTRIALES
135,ARTES PLASTICAS
136,ARTES PLASTICAS HISTORIA Y TEORIA
137,ARTES VISUALES
138,ARTES Y CULTURAS DEL SUR
139,ARTILLERIA DE CAMPANA
140,ASEGURAMIENTO DE LA CALIDAD
141,ASESORAMIENTO Y CONSULTA EN EDUCACION FAMILIAR
142,ASESORAMIENTO Y DESARROLLO HUMANO
143,ASISTENCIA DE PRODUCCION
144,ASISTENCIA ESPECIALIZADA
145,ATENCION PSICOEDUCATIVA DEL AUTISMO
146,AUDIOVISUAL
147,AUDITORIA
148,AUDITORIA DE ESTADO
149,AUDITORIA DE ESTADO CON ENFASIS EN GERENCIA PUBLICA
150,AUDITORIA DE SISTEMAS FINANCIEROS Y SEGURIDAD DE DATOS
151,AUDITORIA DE TECNOLOGIA DE INFORMACION FINANCIERA Y SEGURIDAD DE DATOS
152,AUDITORIA FORENSE
153,AUDITORIA INTEGRAL
154,AUTOMOTRIZ
155,AVALUO DE BIENES INMUEBLES
156,AVALUO DE BIENES MUEBLES E INMUEBLES
157,AVIACION DEL EJERCITO
158,BACTERIOLOGIA CLINICA
159,BANCA Y FINANZAS
160,BANCA Y FINANZAS TECNICA
161,BIBLIOTECOLOGIA
162,BIBLIOTECOLOGIA Y ARCHIVOLOGIA
163,BIOANALISIS
164,BIOETICA
165,BIOINGENIERIA
166,BIOLOGIA
167,BIOLOGIA CELULAR
168,BIOLOGIA MARINA
169,BIOLOGIA MOLECULAR
170,BIOTECNOLOGIA
171,BIOTECNOLOGIA AGRICOLA
172,BIOTECNOLOGIA ALIMENTARIA
173,BOMBERO PROFESIONAL
174,BOTANICA TROPICAL
175,CABALLERIA Y BLINDADOS
176,CABELLARIA Y BLINDADOS
177,CALIDAD AMBIENTAL
178,CALIDAD INTEGRAL
179,CALIDAD INTEGRAL TECNICA
180,CARACTERIZACION Y EXPLOTACION DE YACIMIENTOS
181,CARDIOLOGIA
182,CARDIOLOGIA CLINICA
183,CARDIOLOGIA INFANTIL
184,CARDIOLOGIA INTEGRAL
185,CARDIOPULMONAR
186,CARTOGRAFIA MILITAR
187,CATASTRO Y AVALUO INMOBILIARIO URBANO
188,CERAMICA
189,CERVECERIA
190,CIENCIA ADMINISTRATIVAS
191,CIENCIA DE LA DIRECCION
192,CIENCIA DE LA EDUCACION
193,CIENCIA DE LOS ALIMENTOS
194,CIENCIA DE LOS MATERIALES
195,CIENCIA POLITICA
196,CIENCIA POLITICA Y ADMINISTRACION PUBLICA
197,CIENCIA POLITICA Y DERECHO PUBLICO
198,CIENCIA Y TECNOLOGIA COSMETICA
199,CIENCIA TECNOLOGIA E INNOVACION
200,CIENCIAS
201,CIENCIAS ACTUARIALES
202,CIENCIAS ADMINISTRATIVAS
203,CIENCIAS ADMINISTRATIVAS TECNICA
204,CIENCIAS ADMINISTRATIVAS OPCION BANCA Y FINANZAS
205,CIENCIAS ADMINISTRATIVAS Y GERENCIALES
206,CIENCIAS AERONAUTICAS
207,CIENCIAS AGRARIAS
208,CIENCIAS AGRICOLAS
209,CIENCIAS AGROPECUARIAS
210,CIENCIAS AMBIENTALES
211,CIENCIAS APLICADAS
212,CIENCIAS AUDIOVISUALES Y FOTOGRAFIA
213,CIENCIAS BIOLOGICAS
214,CIENCIAS BIOMEDICAS
215,CIENCIAS CONTABLES
216,CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE
217,CIENCIAS DE LA COMPUTACION
218,CIENCIAS DE LA COMUNICACION
219,CIENCIAS DE LA CONTADURIA
220,CIENCIAS DE LA EDUCACION
221,CIENCIAS DE LA EDUCACION SUPERIOR
222,CIENCIAS DE LA ENERGIA
223,CIENCIAS DE LA INFORMACION
224,CIENCIAS DE LA INGENIERIA
225,CIENCIAS DE LA MOTRICIDAD HUMANA
226,CIENCIAS DE LA RELIGION
227,CIENCIAS DE LA SALUD
228,CIENCIAS DE LA TIERRA
229,CIENCIAS DEL DELITO
230,CIENCIAS DEL DEPORTE
231,CIENCIAS DEL FUEGO Y SEGURIDAD CONTRA INCENDIOS
232,CIENCIAS DEL FUEGO RESCATE Y SEGURIDAD
233,CIENCIAS ECONOMICAS
234,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS
235,CIENCIAS ECONOMICAS Y SOCIALES
236,CIENCIAS ELECTORALES
237,CIENCIAS ESTADISTICAS
238,CIENCIAS FISCALES
239,CIENCIAS FISCALES TECNICA
240,CIENCIAS FORENSES
241,CIENCIAS FORENSES EN SALUD MENTAL
242,CIENCIAS FORENSES Y CRIMINALISTICA
243,CIENCIAS FORESTALES Y AMBIENTALES
244,CIENCIAS GASTRONOMICAS Y ARTES CULINARIAS
245,CIENCIAS GEOLOGICAS
246,CIENCIAS GERENCIALES
247,CIENCIAS HUMANAS
248,CIENCIAS JURIDICAS
249,CIENCIAS JURIDICAS MILITARES
250,CIENCIAS MARINAS
251,CIENCIAS MATEMATICAS
252,CIENCIAS MEDICAS
253,CIENCIAS MILITARES
254,CIENCIAS NATURALES PARA EDUCACION MEDIA
255,CIENCIAS NATURALESMATEMATICA Y TECNOLOGIA
256,CIENCIAS NAUTICAS
257,CIENCIAS NAVALES
258,CIENCIAS ODONTOLOGICAS
259,CIENCIAS ORGANIZACIONALES
260,CIENCIAS PARA EL DESARROLLO ESTRATEGICO
261,CIENCIAS PEDAGOGICAS MILITARES
262,CIENCIAS PENALES INTEGRALES
263,CIENCIAS PENALES Y CRIMINALISTICA
264,CIENCIAS PENALES Y CRIMINALISTICAS
265,CIENCIAS PENALES Y CRIMINALISTICAS TECNICA
266,CIENCIAS PENALES Y CRIMINOLOGICAS
267,CIENCIAS POLICIALES
268,CIENCIAS POLITICAS
269,CIENCIAS POLITICAS Y ADMINISTRATIVAS
270,CIENCIAS SOCIALES
271,CIENCIAS SOCIALES Y HUMANIDADES
272,CIENCIAS TEOLOGICAS
273,CIENCIAS VETERINARIAS
274,CIENCIAS Y ARTES MILITARES
275,CIENCIAS Y ARTES MILITARES OPCION AERONAUTICA
276,CIENCIAS Y ARTES MILITARES OPCION GUARDIA NACIONAL
277,CIENCIAS Y ARTES MILITARES OPCION TERRESTRE
278,CIENCIAS Y ARTES MILITARES OPCION GUARDIA NACIONAL MENCION ADMINISTRACION PUBLICA
279,CIENCIAS Y ARTES MILITARES OPCION TERRESTRE POLICIA MILITAR
280,CIENCIAS Y ARTES NAVALES
281,CIENCIAS Y CULTURA DE LA ALIMENTACION
282,CIRUGIA BUCAL
283,CIRUGIA BUCAL Y MAXILOFACIAL
284,CIRUGIA CARDIOVASCULAR
285,CIRUGIA DE LA MANO
286,CIRUGIA DE LA MANO Y RECONSTRUCTIVA DEL MIEMBRO SUPERIOR
287,CIRUGIA DE TORAX
288,CIRUGIA GENERAL
289,CIRUGIA GENERAL INTEGRAL
290,CIRUGIA ONCOLOGICA
291,CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA
292,CIRUGIA ORTOPEDICA Y TRAUMATOLOGICA
293,CIRUGIA PEDIATRICA
294,CIRUGIA PEDIATRICA Y DEL ADOLESCENTE
295,CIRUGIA PLASTICA Y RECONSTRUCTIVA
296,CIRUGIA PLASTICA RECONSTRUCTIVA ESTETICA Y MAXILOFACIAL
297,CIRUGIA VASCULAR PERIFERICA ANGIOLOGIA Y LINFOLOGIA
298,CITOTECNOLOGIA
299,CITOTECNOLOGIA TECNICA
300,CIVIL
301,CLINICA MENTAL
302,COMERCIO EXTERIOR
303,COMERCIO EXTERIOR TECNICA
304,COMERCIO INTERNACIONAL
305,COMERCIO MARITIMO INTERNACIONAL
306,COMPLEJIDAD Y DESARROLLO HUMANO EN LA DISCAPACIDAD
307,COMPOSICION MUSICAL
308,COMPUTACION
309,COMPUTACION TECNICA
310,COMPUTACION APLICADA
311,COMUNICACION
312,COMUNICACION CORPORATIVA
313,COMUNICACION EMPRESARIAL Y CORPORATIVA
314,COMUNICACION ORGANIZACIONAL
315,COMUNICACION SOCIAL
316,COMUNICACION VISUAL
317,COMUNICACION Y DESARROLLO
318,COMUNICACION Y ELECTRONICA
319,COMUNICACIONES MILITARES
320,COMUNICACIONES Y ELECTRONICA
321,COMUNICACIONES Y ELECTRONICA TECNICA
322,CONFIABILIDAD Y MANTENIMIENTO INDUSTRIAL
323,CONSEJERIA EN SEXOLOGIA
324,CONSERVACION Y RESTAURACION DE BIENES CULTURALES MUEBLES
325,CONSTRUCCION
326,CONSTRUCCION CIVIL
327,CONSTRUCCION CIVIL TECNICA
328,CONSTRUCCION DE OBRAS CIVILES
329,CONSTRUCCIONES CIVILES
330,CONSULTOR TECNICO CIENCIAS FORENSES Y CRIMINALISTICAS
331,CONSULTOR TECNICO EN CRIMINOLOGIA Y CRIMINALISTICA
332,CONTABILIDAD
333,CONTABILIDAD COMPUTARIZADA
334,CONTABILIDAD Y COSTOS
335,CONTABILIDAD Y FINANZAS
336,CONTADOR GENERAL
337,CONTADURIA
338,CONTADURIA TECNICA
339,CONTADURIA GENERAL
340,CONTADURIA PUBLICA
341,CONTADURIA PUBLICA TECNICA
342,CONTADURIA Y FINANZAS
343,CONTROL AEROESPACIAL
344,CONTROL CONTENCIOSO ADMINISTRATIVO DE LAS CONDUCTAS DEL PODER PUBLICO
345,CONTROL DE CALIDAD
346,CONTROL DE GESTION PUBLICA PROMOCION BICENTENARIO DE LA BATALLA DE CARABOBO
347,CONTROL DE LA GESTION PUBLICA
348,CONTROL Y GESTION AMBIENTAL
349,CONTROLES AUTOMATICOS
350,CONTROLES INDUSTRIALES
351,CORROSION Y PROTECCION DE MATERIALES METALICOS
352,CREACION Y PROGRAMACION DE VIDEOJUEGOS
353,CRIMINALISTICA
354,CRIMINALISTICA DE CAMPO
355,CRIMINOLOGIA
356,CRIMINOLOGIA Y CRIMINALISTICA
357,CRIMINOLOGO
358,CRITICA JURIDICA
359,CULTURA DE PAZ Y DERECHO INTERNACIONAL HUMANITARIO
